feature,orientation,sep_over_dAiry,sep_um,C_scalar,C_vectorial
discs,sep_x,0.55,0.4161846698478933,-0.044791312649402594,-0.0386315986133296
discs,sep_x,0.5750000000000001,0.43510215484097936,-0.026228696568924088,-0.010130958182077704
discs,sep_x,0.6000000000000001,0.45401963983406546,-0.01584465902052202,0.017524876607236943
discs,sep_x,0.625,0.47293712482715144,0.025614253280021954,0.10478163348505658
discs,sep_x,0.65,0.4918546098202375,0.1594141378074396,0.3332170743964381
discs,sep_x,0.675,0.5107720948133235,0.15945380315180596,0.33315407522216334
discs,sep_x,0.7000000000000001,0.5296895798064096,0.3292705753779246,0.5648210004870102
discs,sep_x,0.7250000000000001,0.5486070647994957,0.5019097031469245,0.7550666980916432
discs,sep_x,0.75,0.5675245497925817,0.5354571691624846,0.7882240438454303
discs,sep_x,0.775,0.5864420347856678,0.6982898424149754,0.9178791413957396
discs,sep_x,0.8,0.6053595197787539,0.7452792980025286,0.946246166402808
discs,sep_y,0.55,0.4161846698478933,-0.04479131264940242,-0.049588831900632444
discs,sep_y,0.5750000000000001,0.43510215484097936,-0.026228696568924008,-0.038390739983297555
discs,sep_y,0.6000000000000001,0.45401963983406546,-0.015844659020521932,-0.03287721463604124
discs,sep_y,0.625,0.47293712482715144,0.02561425328002204,-0.01587609074716063
discs,sep_y,0.65,0.4918546098202375,0.1594141378074396,0.04391436445306191
discs,sep_y,0.675,0.5107720948133235,0.15945380315180596,0.04391210347591184
discs,sep_y,0.7000000000000001,0.5296895798064096,0.3292705753779248,0.14476984460562586
discs,sep_y,0.7250000000000001,0.5486070647994957,0.5019097031469246,0.2654146040168769
discs,sep_y,0.75,0.5675245497925817,0.5354571691624845,0.2913853384762778
discs,sep_y,0.775,0.5864420347856678,0.6982898424149753,0.4337512597801729
discs,sep_y,0.8,0.6053595197787539,0.7452792980025288,0.4797935789165934
lines,sep_x,0.55,0.4161846698478933,-0.047864912441507174,-0.04044906281375496
lines,sep_x,0.5750000000000001,0.43510215484097936,0.01673460223418735,0.07179560440912928
lines,sep_x,0.6000000000000001,0.45401963983406546,0.016098271037183372,0.07177220444415466
lines,sep_x,0.625,0.47293712482715144,0.22507311573498784,0.3854045044959657
lines,sep_x,0.65,0.4918546098202375,0.5252314534585539,0.7352456971001665
lines,sep_x,0.675,0.5107720948133235,0.8250240502226522,0.9580958249232685
lines,sep_x,0.7000000000000001,0.5296895798064096,0.8250264856777964,0.9581901635510147
lines,sep_x,0.7250000000000001,0.5486070647994957,0.8878500879370044,0.98262550986469
lines,sep_x,0.75,0.5675245497925817,0.9819850610844854,0.9982966990888309
lines,sep_x,0.775,0.5864420347856678,0.9963659026472919,0.9957120558790477
lines,sep_x,0.8,0.6053595197787539,0.998332631056361,0.9940867183008377
lines,sep_y,0.55,0.4161846698478933,-0.04786491244150691,-0.05435584386948917
lines,sep_y,0.5750000000000001,0.43510215484097936,0.016734602234186855,-0.01775876582549552
lines,sep_y,0.6000000000000001,0.45401963983406546,0.016098271037182983,-0.020565199773882336
lines,sep_y,0.625,0.47293712482715144,0.2250731157349881,0.08675577129289244
lines,sep_y,0.65,0.4918546098202375,0.5252314534585539,0.2969144384211136
lines,sep_y,0.675,0.5107720948133235,0.8250240502226522,0.5909424372470553
lines,sep_y,0.7000000000000001,0.5296895798064096,0.8250264856777964,0.5909406777410333
lines,sep_y,0.7250000000000001,0.5486070647994957,0.8878500879370044,0.6828595512622657
lines,sep_y,0.75,0.5675245497925817,0.9819850610844854,0.8487495830883564
lines,sep_y,0.775,0.5864420347856678,0.996365902647292,0.9964155256547075
lines,sep_y,0.8,0.6053595197787539,0.998332631056361,0.9989511115978952
