model,R,a,a_over_R,ni,z0,zi,qmax,peak_ratio_R_H2_over_H0,energy_ratio_R_H2_over_H0,peak_ratio_L_H1_over_H0,intensity_delta_from_H2
paraxial,1.6,1.52,0.95,1.5,2.5,10.0,451.12781954887214,0.0561341013709398,0.021374042879782455,0.07027482090976127,0.07245582288466822
paraxial,1.6,1.36,0.85,1.5,2.5,10.0,451.12781954887214,0.04500504145589436,0.013736203684368387,0.05633947401019872,0.05971758874206483
paraxial,1.6,1.52,0.95,1.8,2.5,10.0,541.3533834586467,0.0392925374233551,0.010478430984212079,0.04919538031000348,0.0530423645530037
paraxial,1.6,1.52,0.95,2.0,2.5,10.0,601.5037593984963,0.03367344858162039,0.007700858542183517,0.042166795467684634,0.04613963190177378
paraxial,1.2,1.14,0.95,1.5,2.5,10.0,338.3458646616541,0.031924931036417664,0.006904183134383306,0.039975274147782895,0.043669490824183886
paraxial,1.6,1.36,0.85,1.8,2.5,10.0,541.3533834586467,0.0315016188845794,0.006734207158687406,0.03943973654282194,0.0432922405769532
paraxial,1.6,1.1199999999999999,0.7,1.5,2.5,10.0,451.12781954887214,0.03080700928411767,0.006433645701068209,0.03856833172153849,0.04229758472290576
paraxial,1.6,1.36,0.85,2.0,2.5,10.0,601.5037593984963,0.026991049741876705,0.004949128195063003,0.03380536682929836,0.03754409366389651
paraxial,1.6,1.52,0.95,1.5,2.5,5.0,902.2556390977443,0.02529117762491653,0.004478173651052547,0.03167319872111549,0.03693611591921851
paraxial,1.2,1.02,0.85,1.5,2.5,10.0,338.3458646616541,0.025542296116169903,0.004416400204489884,0.031973789704395954,0.035444665837274285
paraxial,1.2,1.14,0.95,1.8,2.5,10.0,406.01503759398497,0.022352089066361554,0.00338514141773931,0.02798190934627999,0.031333297996917864
paraxial,1.0,0.95,0.95,1.5,2.5,10.0,281.9548872180451,0.022272736853261258,0.0033539249552569142,0.027879989759145605,0.03110851417922324
paraxial,1.6,1.1199999999999999,0.7,1.8,2.5,10.0,541.3533834586467,0.02155976454240777,0.0031542941356789474,0.026998026447215905,0.030328247370158302
paraxial,1.6,1.36,0.85,1.5,2.5,5.0,902.2556390977443,0.02022234852580044,0.002835854863497334,0.02532710230245319,0.029189514390156105
paraxial,1.6,1.52,0.95,1.8,2.5,5.0,1082.7067669172934,0.017704363067081934,0.002250836718411604,0.022162370106233592,0.028574486032389854
paraxial,1.2,1.14,0.95,2.0,2.5,10.0,451.1278195488722,0.019155288591856806,0.002487851761376235,0.023979865173522626,0.027082567645185178
paraxial,1.6,1.1199999999999999,0.7,2.0,2.5,10.0,601.5037593984963,0.01847703056930415,0.002318200851166241,0.023139720827331837,0.02618431765488549
paraxial,1.2,1.02,0.85,1.8,2.5,10.0,406.01503759398497,0.017879495290676842,0.002165520962933741,0.022382446504101067,0.025310804861120587
paraxial,1.0,0.85,0.85,1.5,2.5,10.0,281.9548872180451,0.01779974906502848,0.0021412315185085034,0.02228539542893195,0.02510779896907399
paraxial,1.2,0.84,0.7,1.5,2.5,10.0,338.3458646616541,0.01743335078481156,0.002056062895906694,0.021827413664681387,0.02464220460827565
paraxial,1.6,1.52,0.95,2.0,2.5,5.0,1203.0075187969926,0.015183828747943735,0.0016245848043651297,0.018999219534621546,0.02422393611362726
paraxial,1.6,1.36,0.85,1.8,2.5,5.0,1082.7067669172934,0.014151956008086553,0.0014224980754463845,0.017728237429085216,0.022375215575738572
